id,title,disposition,hold_reason,file_count,audit_kind,url,folder_path
b-roll-darren-2-fcpbundle-b-roll,Darren 2.fcpbundle — B-Roll,reject,machine artifact: Darren 2.fcpbundle,27,other,https://drive.google.com/drive/folders/1NcksTBjlngaNBvVDgkh3iPDKHgut5yzS,2. sHEALed MASTER / 1. sHEALed BTS Adam Chani Master / sHEALed BTS RAW Footage / Day 03 / 05 Darren Schwartz / Files / Darren 2.fcpbundle
b-roll-carrie-drinkwine-fcpbundle-b-roll,Carrie Drinkwine.fcpbundle — B-Roll,reject,machine artifact: Carrie Drinkwine.fcpbundle,25,other,https://drive.google.com/drive/folders/1KOIdgxXAFYkKZJt2-b1nKddqg-mD3PzN,2. sHEALed MASTER / 1. sHEALed BTS Adam Chani Master / sHEALed BTS RAW Footage / Day 03 / 06 Carrie Drinkwine Broll / Files / Carrie Drinkwine.fcpbundle
b-roll-lisa-2-fcpbundle-b-roll,Lisa 2.fcpbundle — B-Roll,reject,machine artifact: Lisa 2.fcpbundle,16,other,https://drive.google.com/drive/folders/1yfU4xgnnmU7q1glbUE3tATFvieu3ysDw,2. sHEALed MASTER / 1. sHEALed BTS Adam Chani Master / sHEALed BTS RAW Footage / Day 04 / 01 Dr. Lisa Piper & Wendy Cohn-Osborne / Files / Lisa 2.fcpbundle
b-roll-maribel-2-fcpbundle-b-roll,Maribel 2.fcpbundle — B-Roll,reject,machine artifact: Maribel 2.fcpbundle,16,other,https://drive.google.com/drive/folders/1VGQOotHQHh7NqtLaDIGqR8-r57SUNcgG,2. sHEALed MASTER / 1. sHEALed BTS Adam Chani Master / sHEALed BTS RAW Footage / Day 04 / 02 Dr. Maribelle Verdiales / Files / Maribel 2.fcpbundle
b-roll-ana-maria-fcpbundle-b-roll,Ana Maria.fcpbundle — B-Roll,reject,machine artifact: Ana Maria.fcpbundle,16,other,https://drive.google.com/drive/folders/1ACzNYbyWDakv3mEmC2hDreyO_-Pcsluu,2. sHEALed MASTER / 1. sHEALed BTS Adam Chani Master / sHEALed BTS RAW Footage / Day 04 / 03 Ana Maria Temple / FIles / Ana Maria.fcpbundle
b-roll-dr-amanda-hanson-2-fcpbundle-b-roll,Dr. Amanda Hanson 2.fcpbundle — B-Roll,reject,machine artifact: Dr. Amanda Hanson 2.fcpbundle,16,other,https://drive.google.com/drive/folders/1ogRG7L6owe2AeVVjSKIP7JyBZfCr9jZ4,2. sHEALed MASTER / 1. sHEALed BTS Adam Chani Master / sHEALed BTS RAW Footage / Day 04 / 04 Dr. Amanda Hanson / Files / Dr. Amanda Hanson 2.fcpbundle
b-roll-natalie-jill-fcpbundle-b-roll,Natalie Jill.fcpbundle — B-Roll,reject,machine artifact: Natalie Jill.fcpbundle,17,other,https://drive.google.com/drive/folders/12clWvHfIfurU0KyPiGehv-WIPAEFAIot,2. sHEALed MASTER / 1. sHEALed BTS Adam Chani Master / sHEALed BTS RAW Footage / Day 04 / 05 Natalie Jill / Files / Natalie Jill.fcpbundle
audio-hack-your-health-dji-audio-001-november-2025,"Hack Your Health — DJI_Audio_001, November 2025",reject,machine artifact: A001,52,audio,https://drive.google.com/drive/folders/1CZzPdSeL3zVFAU1pU-iFM67NJTXzCHWo,20. 11/13-15/2025 - Hack Your Health / HYH RAW Footage / Day_01 / Day_01_RawFootage / A001 / DJI_Audio_001
event-photography-a4m-red-carpet-thmbnl-premiere-december-20,"A4M Red Carpet — THMBNL — Premiere, December 2024",reject,machine artifact: PRIVATE,196,photography,https://drive.google.com/drive/folders/1Aus58E4VMH6G55J8dr9SoqkLQwAXa2aQ,1. 12/15/2024 - A4M Biohack Yourself Red Carpet Master / Biohack Yourself Premiere / B Roll / Video / FL1001 / PRIVATE / M4ROOT / THMBNL
b-roll-sunscreen-film-festival-100gopro-b-roll-april-2024,"SunScreen Film Festival — 100GOPRO — B-Roll, April 2024",reject,machine artifact: D002,15,b-roll / video,https://drive.google.com/drive/folders/1frceiq8Q_772L0Z2MuqriNNroj9K1is1,0. 4/24/2024 - SunScreen Film Festival The Guru Premier / The Guru Festival RAW Footage / Day 2 / Drone / D002 / DCIM / 100GOPRO
b-roll-valerie-feghali-1-fcpbundle-b-roll,Valerie Feghali 1.fcpbundle — B-Roll,reject,machine artifact: Valerie Feghali 1.fcpbundle,10,other,https://drive.google.com/drive/folders/1Rg7pbPR8lnL5G6ulOdd_LtjznNfeP4eV,2. sHEALed MASTER / 1. sHEALed BTS Adam Chani Master / sHEALed BTS RAW Footage / Day 01 / Post Files / Adam / Valerie Feghali / Valerie Feghali 1.fcpbundle
b-roll-technical-cut-fcpbundle-b-roll,Technical Cut.fcpbundle — B-Roll,reject,machine artifact: Technical Reels Final Cut.fcpbundle,41,other,https://drive.google.com/drive/folders/1EF3WkNrNu56FZhTTi8q3mxdFivK36-5p,2. sHEALed MASTER / 1. sHEALed BTS Adam Chani Master / sHEALed BTS RAW Footage / Day 01 / Post Files / Sam / Technical Reels Sam Edits / Technical Reels Final Cut.fcpbundle
b-roll-sunscreen-film-festival-xdroot-b-roll-april-2024,"SunScreen Film Festival — XDROOT — B-Roll, April 2024",reject,machine artifact: B2002,57,other,https://drive.google.com/drive/folders/1SD4x1tpqw7_K2tJZM7cqkqK_v_2G4BAR,0. 4/24/2024 - SunScreen Film Festival The Guru Premier / The Guru Festival RAW Footage / Day 1 / B_Cam_2 / B_Cam_2_Interviews_VIP_Section / B2002 / XDROOT
bts-shealed-bts-lrcat-data-behind-the-scenes,Shealed BTS.lrcat-data — Behind the Scenes,reject,machine artifact: Shealed BTS.lrcat-data,30,behind the scenes,https://drive.google.com/drive/folders/1FYv6jrmWeNrbhZxVGllO_WnfjmjE2csw,2. sHEALed MASTER / 1. sHEALed BTS Adam Chani Master / sHEALed BTS RAW Footage / Day 01 / Post Files / Sam / Lightroom / Shealed BTS 1 / Shealed BTS.lrcat-data
b-roll-a4m-red-carpet-0477ae01a3265793c8879cedd7cf162f-premi,"A4M Red Carpet — 0477AE01A3265793C8879CEDD7CF162F — Premiere, December 2024",reject,machine artifact: TereZa.fcpbundle,16,other,https://drive.google.com/drive/folders/1B4ONrOFKCwoAwr_l98PLmBze7XkIF6AV,1. 12/15/2024 - A4M Biohack Yourself Red Carpet Master / A4M Biohack Yourself Master Folder / Tereza / TereZa.fcpbundle / 12-24-24 / Render Files / Thumbnail Media / 0477AE01A3265793C8879CEDD7CF162F
b-roll-a4m-red-carpet-3040376e7688f8778fcc9d48691e1960-premi,"A4M Red Carpet — 3040376E7688F8778FCC9D48691E1960 — Premiere, December 2024",reject,machine artifact: TereZa.fcpbundle,11,other,https://drive.google.com/drive/folders/1N6EQr0ksAN4kCtUKHRKFrKvZ8bmf2-QZ,1. 12/15/2024 - A4M Biohack Yourself Red Carpet Master / A4M Biohack Yourself Master Folder / Tereza / TereZa.fcpbundle / 12-24-24 / Render Files / Thumbnail Media / 3040376E7688F8778FCC9D48691E1960
b-roll-a4m-red-carpet-1625bd23b86d7c443d3ba77c2102462b-premi,"A4M Red Carpet — 1625BD23B86D7C443D3BA77C2102462B — Premiere, December 2024",reject,machine artifact: TereZa.fcpbundle,16,other,https://drive.google.com/drive/folders/1donW9ae2EX6Dmg1aj2hJLK89n1NZCyxd,1. 12/15/2024 - A4M Biohack Yourself Red Carpet Master / A4M Biohack Yourself Master Folder / Tereza / TereZa.fcpbundle / 12-24-24 / Render Files / Thumbnail Media / 1625BD23B86D7C443D3BA77C2102462B
b-roll-a4m-red-carpet-4a17d57636de9c1d33bec4b942d675dc-premi,"A4M Red Carpet — 4A17D57636DE9C1D33BEC4B942D675DC — Premiere, December 2024",reject,machine artifact: TereZa.fcpbundle,13,other,https://drive.google.com/drive/folders/1xEPOMLvKIQHaAnZgm3K2WMx-sWCbCQ0Z,1. 12/15/2024 - A4M Biohack Yourself Red Carpet Master / A4M Biohack Yourself Master Folder / Tereza / TereZa.fcpbundle / 12-24-24 / Render Files / Thumbnail Media / 4A17D57636DE9C1D33BEC4B942D675DC
b-roll-a4m-red-carpet-35b0eeb2bfadc418c8d4ae7c45adab0e-premi,"A4M Red Carpet — 35B0EEB2BFADC418C8D4AE7C45ADAB0E — Premiere, December 2024",reject,machine artifact: TereZa.fcpbundle,11,other,https://drive.google.com/drive/folders/1cRu7hoA5MaNPaQoEhj0onV410ZPSVXNr,1. 12/15/2024 - A4M Biohack Yourself Red Carpet Master / A4M Biohack Yourself Master Folder / Tereza / TereZa.fcpbundle / 12-24-24 / Render Files / Thumbnail Media / 35B0EEB2BFADC418C8D4AE7C45ADAB0E
b-roll-a4m-red-carpet-56be681d30e4d928c2adba2646872612-premi,"A4M Red Carpet — 56BE681D30E4D928C2ADBA2646872612 — Premiere, December 2024",reject,machine artifact: TereZa.fcpbundle,40,other,https://drive.google.com/drive/folders/1Hsp8IzJS1pXXMosC84XHzXnnI4gJWSmz,1. 12/15/2024 - A4M Biohack Yourself Red Carpet Master / A4M Biohack Yourself Master Folder / Tereza / TereZa.fcpbundle / 12-24-24 / Render Files / Thumbnail Media / 56BE681D30E4D928C2ADBA2646872612
b-roll-a4m-red-carpet-40f3c54ea9e4461fe58d61ea4356a1ac-premi,"A4M Red Carpet — 40F3C54EA9E4461FE58D61EA4356A1AC — Premiere, December 2024",reject,machine artifact: TereZa.fcpbundle,18,other,https://drive.google.com/drive/folders/1QmYR4mfN2UqSR9wOKrRyVhGVXKGLUy0A,1. 12/15/2024 - A4M Biohack Yourself Red Carpet Master / A4M Biohack Yourself Master Folder / Tereza / TereZa.fcpbundle / 12-24-24 / Render Files / Thumbnail Media / 40F3C54EA9E4461FE58D61EA4356A1AC
b-roll-a4m-red-carpet-75d05e589ce7e63bb7223013d5d71c2a-premi,"A4M Red Carpet — 75D05E589CE7E63BB7223013D5D71C2A — Premiere, December 2024",reject,machine artifact: TereZa.fcpbundle,11,other,https://drive.google.com/drive/folders/18Iy96MSpYZOIk8OgrDVn2r-ysiXm8MW2,1. 12/15/2024 - A4M Biohack Yourself Red Carpet Master / A4M Biohack Yourself Master Folder / Tereza / TereZa.fcpbundle / 12-24-24 / Render Files / Thumbnail Media / 75D05E589CE7E63BB7223013D5D71C2A
